[
('syariah kota hancur warung bahagia f', 'negatif'),
('dorong anak sekolah edukasi', 'positif'),
('data transaksi non-tunai layan', 'positif'),
('komunikasi kompromi nyolong', 'positif'),
('pura bodoh', 'positif'),
('bangun infrastuktur bangun orang', 'positif'),
('64 sekian ya teman2 silah timbang akal sehat https', 'netral'),
('ton menang bpk beliau haru bantu pulih sehat', 'netral'),
('63 tarung pilkada jakarta 2017 hadir vs', 'positif'),
('60 maju saing lihat mubadzir', 'negatif'),
('58 program contek program keren http', 'negatif'),
('56 laku horizontal drainage normalisasi sungai alir', 'positif'),
('ustad menyolatkan jenazah hukum wajib pahala khawatir', 'positif'),
('samping ahok-dajrot bukti bawa ubah jakarta fisik mental warga', 'positif'),
('ikhlas layan warga jakarta -basuki t purnama', 'positif'),
('37 patut warga jakarta terimakasih bawa ubah jak', 'positif'),
('36 program bukti kerja nyata bukti manfaat warga jaka', 'positif'),
('33 tata kota perhati serius era bersih indah amp nyaman kota prioritas', 'positif'),
('30 bidang pariwisata bukti buka wisata', 'positif'),
('dukung basuki-djarot laku patungan terdftr amp pakai hak pilih pd 19 apr', 'positif'),
('29 bangun bukti nyata macet', 'positif'),
('1 fasilitas tunjang bangsa hidup sejahtera bekal didik laya', 'positif'),
('27 solusi bidang mukim warga', 'positif'),
('2 milik misi layan calon bangsa hak d', 'positif'),
('yes butuh pimpin tuju', 'netral'),
('18 tuntas wajib didik 9 didik gratis kjp', 'positif'),
('program laku ahok-djarot pimpin jakarta', 'netral'),
('17 tenaga medis program ketuk pintu layan hati bukti prestasi', 'positif'),
('14 sisi rehab total puskesmas 34 lokasi camat', 'positif'),
('terimakasih teman2 tonton jumpa minggu topik seru amp bintang tamu kece', 'netral'),
('program hebat pimpin hebat', 'netral'),
('6 total hasil bangun 188 ruang publik padu ramah anak rptra sebar wilayah', 'positif'),
('langsung hadir silaturahmi rapat koordinasi nasional ppp', 'positif'),
('mari wujud dki jakarta bersih transparan profesional', 'positif'),
('hitung suara pilkada dki 2017 langsung bersih mari kawal', 'netral'),
('percaya pimpin jakarta butuh kepala lurus kepala lurus berani lurus', 'positif'),
('bicara kena sumber dana kampanye warga rumah lembang', 'netral'),
('perempuan laki beda hak amp tanggung urus keluarga', 'positif'),
('basuki-djarot patungan rakyat', 'positif'),
('cengkareng ecek titik sentral banjir', 'positif'),
('sambut tangan buka warga pagi ciracas jakart', 'positif'),
('definisi indah transjakarta tiba2 lihat bu main cello', 'netral'),
('birokrasi bersih 5', 'positif'),
('ibu2 warga lubang buaya jakarta timur sabar banget ketemu', 'positif'),
('15 februari 2017 pilih jakarta kawal pilkada dki', 'netral'),
('program normalisasi sungai pd warga jamin daerah kena gusur', 'netral'),
('peluk warga ciracas gembira https', 'netral'),
('pulau lihat wajah antusias warga kep ribu terima pimpin cinta', 'positif'),
('mrt fase 1 lebak bulus bundar hi angkut 1 950 orang 6 kereta jalur layang tanah', 'netral'),
('langsung blusukan cipayung jakarta timur kerumun warga langsung kerumun bpk', 'netral'),
('lelah blusukan amp ecek langsung kondisi lapang menulusuri rawa2 lihat kondisi kali cipayung', 'positif'),
('heran lihat wajah dengar pidato kbangsaan malam bingung cari point pidato', 'negatif')]
